index;count
2021-05-06;1
2021-05-07;1
2021-05-08;1
2021-05-09;1
2021-05-10;1
2021-05-11;1
2021-05-12;1
2021-05-13;1
2021-05-14;1
2021-05-15;1
2021-05-16;1
2021-05-17;1
2021-05-18;1
2021-05-19;1
2021-05-20;1
2021-05-21;1
2021-05-22;1
2021-05-23;1
2021-05-24;6
2021-05-25;74
2021-05-26;94
2021-05-27;95
2021-05-28;95
2021-05-29;95
2021-05-30;95
2021-05-31;96
2021-06-01;96
2021-06-02;97
2021-06-03;97
2021-06-04;97
2021-06-05;97
2021-06-06;97
2021-06-07;97
2021-06-08;99
2021-06-09;99
2021-06-10;99
2021-06-11;99
2021-06-12;99
2021-06-13;99
2021-06-14;99
2021-06-15;99
2021-06-16;99
2021-06-17;99
2021-06-18;99
2021-06-19;100
2021-06-20;100
2021-06-21;100
2021-06-22;100
2021-06-23;100
2021-06-24;100
2021-06-25;100
2021-06-26;100
2021-06-27;100
2021-06-28;100
2021-06-29;100
2021-06-30;100
2021-07-01;100
2021-07-02;100
2021-07-03;100
2021-07-04;100
2021-07-05;100
2021-07-06;100
2021-07-07;194
2021-07-08;194
2021-07-09;197
2021-07-10;197
2021-07-11;197
2021-07-12;198
2021-07-13;221
2021-07-14;221
2021-07-15;226
2021-07-16;226
2021-07-17;226
2021-07-18;226
2021-07-19;226
2021-07-20;226
2021-07-21;251
