Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;32
1ªDose;2021-01-21;6
1ªDose;2021-01-22;1
1ªDose;2021-01-27;1
1ªDose;2021-02-03;1
1ªDose;2021-02-04;10
1ªDose;2021-02-08;22
1ªDose;2021-02-10;1
1ªDose;2021-02-11;12
1ªDose;2021-02-12;6
1ªDose;2021-02-18;47
1ªDose;2021-02-19;2
1ªDose;2021-02-25;1
1ªDose;2021-02-26;1
1ªDose;2021-03-01;4
1ªDose;2021-03-02;8
1ªDose;2021-03-03;6
1ªDose;2021-03-04;4
1ªDose;2021-03-05;2
1ªDose;2021-03-09;80
1ªDose;2021-03-10;6
1ªDose;2021-03-12;15
1ªDose;2021-03-15;1
1ªDose;2021-03-16;2
1ªDose;2021-03-17;4
1ªDose;2021-03-19;138
1ªDose;2021-03-20;1
1ªDose;2021-03-22;1
1ªDose;2021-03-25;117
1ªDose;2021-03-26;13
1ªDose;2021-03-29;1
1ªDose;2021-03-30;1
1ªDose;2021-04-12;71
1ªDose;2021-04-15;4
1ªDose;2021-04-16;65
2ªDose;2021-02-10;31
2ªDose;2021-02-11;3
2ªDose;2021-02-18;1
2ªDose;2021-03-01;5
2ªDose;2021-03-02;3
2ªDose;2021-03-04;18
2ªDose;2021-03-05;9
2ªDose;2021-03-11;11
2ªDose;2021-03-12;21
2ªDose;2021-03-15;1
2ªDose;2021-03-16;9
2ªDose;2021-03-17;18
2ªDose;2021-03-18;3
2ªDose;2021-03-19;2
2ªDose;2021-03-25;7
2ªDose;2021-03-30;21
2ªDose;2021-04-06;78
2ªDose;2021-04-07;10
2ªDose;2021-04-08;1
2ªDose;2021-04-12;10
2ªDose;2021-04-15;131
2ªDose;2021-04-16;3
2ªDose;2021-04-28;59
