Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;29
1ªDose;2021-01-22;9
1ªDose;2021-01-25;1
1ªDose;2021-01-27;20
1ªDose;2021-01-28;22
1ªDose;2021-02-03;30
1ªDose;2021-02-08;9
1ªDose;2021-02-10;12
1ªDose;2021-02-11;3
1ªDose;2021-02-12;4
1ªDose;2021-02-17;10
1ªDose;2021-02-18;1
1ªDose;2021-02-26;22
1ªDose;2021-03-01;31
1ªDose;2021-03-02;21
1ªDose;2021-03-03;2
1ªDose;2021-03-04;11
1ªDose;2021-03-05;21
1ªDose;2021-03-08;30
1ªDose;2021-03-09;1
1ªDose;2021-03-11;10
1ªDose;2021-03-12;18
1ªDose;2021-03-15;27
1ªDose;2021-03-17;20
1ªDose;2021-03-18;33
1ªDose;2021-03-22;17
1ªDose;2021-03-23;2
1ªDose;2021-03-24;19
1ªDose;2021-03-25;3
1ªDose;2021-03-26;96
1ªDose;2021-03-29;8
1ªDose;2021-04-05;23
1ªDose;2021-04-06;14
1ªDose;2021-04-08;2
1ªDose;2021-04-09;8
1ªDose;2021-04-12;2
1ªDose;2021-04-13;14
1ªDose;2021-04-14;6
1ªDose;2021-04-15;9
1ªDose;2021-04-20;76
1ªDose;2021-04-23;19
1ªDose;2021-04-27;1
1ªDose;2021-04-29;1
2ªDose;2021-02-11;23
2ªDose;2021-02-12;11
2ªDose;2021-02-17;2
2ªDose;2021-02-18;1
2ªDose;2021-02-24;1
2ªDose;2021-02-26;1
2ªDose;2021-03-01;30
2ªDose;2021-03-02;3
2ªDose;2021-03-03;19
2ªDose;2021-03-05;7
2ªDose;2021-03-11;11
2ªDose;2021-03-25;10
2ªDose;2021-03-26;13
2ªDose;2021-03-29;29
2ªDose;2021-03-30;1
2ªDose;2021-04-05;52
2ªDose;2021-04-06;3
2ªDose;2021-04-07;1
2ªDose;2021-04-08;60
2ªDose;2021-04-11;1
2ªDose;2021-04-12;1
2ªDose;2021-04-16;100
2ªDose;2021-04-23;4
2ªDose;2021-04-27;5
2ªDose;2021-04-28;1
