Dose Aplicada;Data;Quantidade
1ªDose;2021-01-28;51
1ªDose;2021-01-29;27
1ªDose;2021-02-02;46
1ªDose;2021-02-04;30
1ªDose;2021-02-05;1
1ªDose;2021-03-01;69
1ªDose;2021-03-02;80
1ªDose;2021-03-03;19
1ªDose;2021-03-04;23
1ªDose;2021-03-05;1
1ªDose;2021-03-08;1
1ªDose;2021-04-13;28
1ªDose;2021-04-14;24
1ªDose;2021-04-15;53
1ªDose;2021-04-16;19
1ªDose;2021-04-19;17
1ªDose;2021-04-20;8
1ªDose;2021-04-21;2
1ªDose;2021-04-22;19
1ªDose;2021-04-23;24
1ªDose;2021-04-26;16
1ªDose;2021-04-27;3
1ªDose;2021-04-28;1
2ªDose;2021-04-16;1
2ªDose;2021-04-22;22
2ªDose;2021-04-23;11
2ªDose;2021-04-26;1
