Dose Aplicada;Data;Quantidade
1ªDose;2021-01-28;44
1ªDose;2021-01-29;101
1ªDose;2021-02-01;33
1ªDose;2021-02-18;1
1ªDose;2021-03-01;180
1ªDose;2021-03-02;92
1ªDose;2021-03-03;12
1ªDose;2021-04-13;142
1ªDose;2021-04-14;31
1ªDose;2021-04-15;17
1ªDose;2021-04-16;6
1ªDose;2021-04-20;239
1ªDose;2021-04-22;33
1ªDose;2021-04-23;4
1ªDose;2021-04-26;6
1ªDose;2021-04-27;1
1ªDose;2021-04-28;42
1ªDose;2021-04-29;3
2ªDose;2021-01-29;1
2ªDose;2021-04-16;1
2ªDose;2021-04-19;44
2ªDose;2021-04-20;55
2ªDose;2021-04-22;1
2ªDose;2021-04-23;4
2ªDose;2021-04-26;1
