Dose Aplicada;Data;Quantidade
1ªDose;2021-01-27;18
1ªDose;2021-01-28;20
1ªDose;2021-01-29;10
1ªDose;2021-01-30;18
1ªDose;2021-02-01;34
1ªDose;2021-02-02;14
1ªDose;2021-02-26;118
1ªDose;2021-03-01;9
1ªDose;2021-03-03;24
1ªDose;2021-03-04;2
1ªDose;2021-04-12;75
1ªDose;2021-04-13;3
1ªDose;2021-04-15;9
1ªDose;2021-04-19;1
1ªDose;2021-04-20;192
1ªDose;2021-04-22;8
1ªDose;2021-04-23;10
1ªDose;2021-04-27;130
1ªDose;2021-04-28;2
1ªDose;2021-04-29;1
2ªDose;2021-04-22;33
2ªDose;2021-04-23;6
2ªDose;2021-04-26;13
2ªDose;2021-04-27;2
2ªDose;2021-04-29;1
