Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;23
1ªDose;2021-01-21;10
1ªDose;2021-01-22;5
1ªDose;2021-01-25;4
1ªDose;2021-01-27;3
1ªDose;2021-01-28;1
1ªDose;2021-02-03;41
1ªDose;2021-02-04;10
1ªDose;2021-02-05;17
1ªDose;2021-02-09;2
1ªDose;2021-02-10;32
1ªDose;2021-02-11;2
1ªDose;2021-02-12;18
1ªDose;2021-02-15;7
1ªDose;2021-02-17;1
1ªDose;2021-03-02;3
1ªDose;2021-03-03;1
1ªDose;2021-03-04;13
1ªDose;2021-03-08;32
1ªDose;2021-03-09;6
1ªDose;2021-03-10;37
1ªDose;2021-03-12;87
1ªDose;2021-03-18;97
1ªDose;2021-03-19;53
1ªDose;2021-03-24;40
1ªDose;2021-03-25;48
1ªDose;2021-03-26;40
1ªDose;2021-03-29;7
1ªDose;2021-04-01;166
1ªDose;2021-04-08;9
1ªDose;2021-04-09;38
1ªDose;2021-04-16;3
2ªDose;2021-02-03;2
2ªDose;2021-02-05;1
2ªDose;2021-02-10;3
2ªDose;2021-02-11;6
2ªDose;2021-02-12;15
2ªDose;2021-02-15;7
2ªDose;2021-02-16;6
2ªDose;2021-02-17;8
2ªDose;2021-02-18;1
2ªDose;2021-02-22;1
2ªDose;2021-02-24;7
2ªDose;2021-03-02;55
2ªDose;2021-03-03;9
2ªDose;2021-03-04;2
2ªDose;2021-03-08;22
2ªDose;2021-03-09;5
2ªDose;2021-03-10;17
2ªDose;2021-03-11;1
2ªDose;2021-03-12;3
2ªDose;2021-03-24;10
2ªDose;2021-03-25;25
2ªDose;2021-03-26;5
2ªDose;2021-03-28;1
2ªDose;2021-03-29;34
2ªDose;2021-04-08;45
2ªDose;2021-04-09;2
2ªDose;2021-04-12;1
2ªDose;2021-04-14;99
2ªDose;2021-04-15;12
2ªDose;2021-04-16;74
2ªDose;2021-04-22;30
2ªDose;2021-04-23;16
2ªDose;2021-04-26;5
