index;count
2021-05-04;235
2021-05-05;276
2021-05-06;325
2021-05-07;356
2021-05-08;356
2021-05-09;356
2021-05-10;408
2021-05-11;412
2021-05-12;414
2021-05-13;433
2021-05-14;441
2021-05-15;441
2021-05-16;441
2021-05-17;446
2021-05-18;448
2021-05-19;448
2021-05-20;452
2021-05-21;456
2021-05-22;456
2021-05-23;456
2021-05-24;459
2021-05-25;481
2021-05-26;514
2021-05-27;533
2021-05-28;534
2021-05-29;534
2021-05-30;534
2021-05-31;534
2021-06-01;534
2021-06-02;534
2021-06-03;534
2021-06-04;534
2021-06-05;534
2021-06-06;534
2021-06-07;534
2021-06-08;534
2021-06-09;534
2021-06-10;534
2021-06-11;534
2021-06-12;534
2021-06-13;534
2021-06-14;534
2021-06-15;534
2021-06-16;534
2021-06-17;534
2021-06-18;534
2021-06-19;534
2021-06-20;534
2021-06-21;534
2021-06-22;534
2021-06-23;534
2021-06-24;534
2021-06-25;534
2021-06-26;534
2021-06-27;534
2021-06-28;534
2021-06-29;534
2021-06-30;534
2021-07-01;534
2021-07-02;534
2021-07-03;534
2021-07-04;534
2021-07-05;534
2021-07-06;534
2021-07-07;534
2021-07-08;578
2021-07-09;593
2021-07-10;593
2021-07-11;593
2021-07-12;604
2021-07-13;614
2021-07-14;614
2021-07-15;695
2021-07-16;704
2021-07-17;704
2021-07-18;704
2021-07-19;709
2021-07-20;714
2021-07-21;714
2021-07-22;723
2021-07-23;891
