Dose Aplicada;Data;Quantidade
1ªDose;2021-02-01;2
1ªDose;2021-02-02;10
1ªDose;2021-02-15;17
1ªDose;2021-02-17;20
1ªDose;2021-02-18;10
1ªDose;2021-02-19;10
1ªDose;2021-03-03;9
1ªDose;2021-03-08;10
1ªDose;2021-03-10;37
1ªDose;2021-03-18;10
1ªDose;2021-03-19;2
1ªDose;2021-03-22;10
1ªDose;2021-03-25;40
1ªDose;2021-03-26;40
1ªDose;2021-03-29;50
1ªDose;2021-03-30;11
1ªDose;2021-03-31;58
1ªDose;2021-04-05;9
1ªDose;2021-04-07;1
1ªDose;2021-04-16;5
1ªDose;2021-04-19;9
1ªDose;2021-04-20;10
1ªDose;2021-04-23;19
1ªDose;2021-04-26;20
1ªDose;2021-04-28;2
1ªDose;2021-04-30;60
2ªDose;2021-01-28;1
2ªDose;2021-02-22;1
2ªDose;2021-02-23;10
2ªDose;2021-02-24;2
2ªDose;2021-02-25;5
2ªDose;2021-02-26;2
2ªDose;2021-03-01;2
2ªDose;2021-03-02;1
2ªDose;2021-03-15;19
2ªDose;2021-03-17;21
2ªDose;2021-03-18;10
2ªDose;2021-03-19;8
2ªDose;2021-03-30;1
2ªDose;2021-03-31;7
2ªDose;2021-04-07;18
2ªDose;2021-04-15;10
2ªDose;2021-04-16;1
2ªDose;2021-04-19;13
2ªDose;2021-04-22;39
2ªDose;2021-04-23;33
2ªDose;2021-04-26;56
2ªDose;2021-04-28;64
2ªDose;2021-04-30;1
