Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;1
1ªDose;2021-02-03;11
1ªDose;2021-02-10;10
1ªDose;2021-02-17;10
1ªDose;2021-02-18;27
1ªDose;2021-02-19;10
1ªDose;2021-02-22;9
1ªDose;2021-02-25;2
1ªDose;2021-03-08;1
1ªDose;2021-03-09;10
1ªDose;2021-03-10;9
1ªDose;2021-03-19;10
1ªDose;2021-03-22;1
1ªDose;2021-03-23;8
1ªDose;2021-03-25;53
1ªDose;2021-03-26;9
1ªDose;2021-03-29;4
1ªDose;2021-03-30;269
1ªDose;2021-03-31;19
1ªDose;2021-04-05;11
1ªDose;2021-04-06;14
1ªDose;2021-04-07;83
1ªDose;2021-04-08;8
1ªDose;2021-04-12;1
1ªDose;2021-04-13;4
1ªDose;2021-04-14;10
1ªDose;2021-04-15;1
1ªDose;2021-04-16;2
1ªDose;2021-04-20;15
1ªDose;2021-04-22;43
1ªDose;2021-04-23;28
1ªDose;2021-04-27;11
1ªDose;2021-04-28;6
1ªDose;2021-04-29;5
1ªDose;2021-04-30;1
2ªDose;2021-02-17;3
2ªDose;2021-02-18;5
2ªDose;2021-02-19;4
2ªDose;2021-02-22;4
2ªDose;2021-02-24;3
2ªDose;2021-03-10;1
2ªDose;2021-03-17;8
2ªDose;2021-03-18;26
2ªDose;2021-03-19;10
2ªDose;2021-03-22;9
2ªDose;2021-03-23;2
2ªDose;2021-03-25;1
2ªDose;2021-04-05;1
2ªDose;2021-04-06;6
2ªDose;2021-04-07;4
2ªDose;2021-04-08;2
2ªDose;2021-04-15;1
2ªDose;2021-04-16;4
2ªDose;2021-04-20;58
2ªDose;2021-04-22;16
2ªDose;2021-04-27;5
2ªDose;2021-04-28;16
2ªDose;2021-04-29;7
