Dose Aplicada;Data;Quantidade
1ªDose;2021-01-26;14
1ªDose;2021-01-27;6
1ªDose;2021-02-02;11
1ªDose;2021-02-03;8
1ªDose;2021-02-18;27
1ªDose;2021-02-25;8
1ªDose;2021-03-02;8
1ªDose;2021-03-11;16
1ªDose;2021-03-13;1
1ªDose;2021-03-18;1
1ªDose;2021-03-22;1
1ªDose;2021-03-29;77
1ªDose;2021-03-30;28
1ªDose;2021-04-01;50
1ªDose;2021-04-04;1
1ªDose;2021-04-05;2
1ªDose;2021-04-09;8
1ªDose;2021-04-20;13
1ªDose;2021-04-23;6
1ªDose;2021-04-27;8
1ªDose;2021-04-29;6
2ªDose;2021-02-03;1
2ªDose;2021-02-23;8
2ªDose;2021-02-24;9
2ªDose;2021-02-26;1
2ªDose;2021-03-04;1
2ªDose;2021-03-11;1
2ªDose;2021-03-19;22
2ªDose;2021-03-22;11
2ªDose;2021-03-23;1
2ªDose;2021-03-26;1
2ªDose;2021-03-30;8
2ªDose;2021-03-31;1
2ªDose;2021-04-05;6
2ªDose;2021-04-20;1
2ªDose;2021-04-22;72
2ªDose;2021-04-23;27
2ªDose;2021-04-27;2
2ªDose;2021-04-28;39
